Event ID,Event Name,Event Type,Event Date

47877,LVC,Elite,2/25/2021

48685,Waco,Elite,3/12/2021

47888,Open at Belton,Silver,3/19/2021

48119,Vintage Open,Silver,4/8/2021

48567,Jonesboro,Elite,4/16/2021

48121,Mid-America,Silver,4/23/2021

48283,Goat Hill,Silver,5/7/2021

48172,OTBO,Elite,5/14/2021

48686,Portland,Elite,6/4/2021

48112,Clash at the Canyons,Silver,7/2/2021

47446,PCS Sula Open,Elite,7/7/2021

48338,DGLO,Elite,7/23/2021

48687,Preserve,Elite,7/30/2021

47981,Ledgestone,Elite,8/5/2021

48688,Idlewild,Elite,8/13/2021

47835,Stafford,Silver,8/20/2021

49214,MVP Open,Elite,9/3/2021

48690,GMC,Elite,9/9/2021

